,brand,title,Price,Link
41,Ansell,"Cut-Resistant Coated Gloves, A2 Cut Level, 15 ga, Gray, XL",product price: $10.09,https://www.zoro.com//ansell-cut-resistant-coated-gloves-a2-cut-level-15-ga-gray-xl-11-727/i/G0094300/
42,Showa,"15"" Chemical Resistant Gloves, Nitrile, L, 1 PR",product price: $5.89,https://www.zoro.com//showa-15-chemical-resistant-gloves-nitrile-l-1-pr-737-09/i/G7482445/
43,Mcr Safety,"11"" Chemical Resistant Gloves, Nitrile, L, 12PK",product price: $38.89,https://www.zoro.com//mcr-safety-11-chemical-resistant-gloves-nitrile-l-12pk-9760/i/G3105789/
44,Mechanix Wear,"Mechanics Gloves, XL ( 11 ), Brown",product price: $14.69,https://www.zoro.com//mechanix-wear-mechanics-gloves-xl-11-brown-mff-07-011/i/G4068120/
45,Daymark,"Steam Resist Gloves, Blue, XL, Rubber, PR",product price: $19.65,https://www.zoro.com//daymark-steam-resist-gloves-blue-xl-rubber-pr-92145/i/G1588842/
46,Ansell,"Disposable Gloves, Neoprene, Powder Free, Green, M, 100 PK",product price: $22.49,https://www.zoro.com//ansell-disposable-gloves-neoprene-powder-free-green-m-100-pk-25-201/i/G0068406/
47,Ansell,"14"" Chemical Resistant Gloves, Nitrile, 10, 1 PR",product price: $15.39,https://www.zoro.com//ansell-14-chemical-resistant-gloves-nitrile-10-1-pr-58-735/i/G4427381/
48,Showa,"SHOWA Best P660 Vinylove Premium Vinyl Coated Liquid Proof Gloves, 12PK",product price: $48.89,https://www.zoro.com//showa-showa-best-p660-vinylove-premium-vinyl-coated-liquid-proof-gloves-12pk-660-10/i/G407467564/
49,Sas Safety,"Raven Powder-Free Nitrile Exam Grade Disposable Gloves - 7 Mil - XL, 100PK",product price: $18.99,https://www.zoro.com//sas-safety-raven-powder-free-nitrile-exam-grade-disposable-gloves-7-mil-xl-100pk-66519/i/G912306303/
50,Ansell,"26"" Chemical Resistant Gloves, Neoprene, 10, 1 PR",product price: $47.39,https://www.zoro.com//ansell-26-chemical-resistant-gloves-neoprene-10-1-pr-19-026/i/G0025322/
51,Ergodyne,"Glove Clip, Lime, 9""",product price: $2.85,https://www.zoro.com//ergodyne-glove-clip-lime-9-3400/i/G1932511/
52,Ironcat,"MIG Welding Gloves, Goatskin Palm, L, 12PK",product price: $153.99,https://www.zoro.com//ironcat-mig-welding-gloves-goatskin-palm-l-12pk-6143l/i/G5281482/
53,Magid,"JerseyMaster T92 8 oz Clute Pattern Jersey Gloves, 12PK",product price: $11.55,https://www.zoro.com//magid-jerseymaster-t92-8-oz-clute-pattern-jersey-gloves-12pk-t92c/i/G907467064/
54,Mechanix Wear,"Mechanics Gloves, 2XL, Red, Form Fitting Trek Dry(R)",product price: $14.49,https://www.zoro.com//mechanix-wear-mechanics-gloves-2xl-red-form-fitting-trek-dryr-mff-02-012/i/G4387661/
